player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Jake Hummel,57879,LB,BLT,6,1,0,100.0,0,0,3,0,0,59.7,69.1,73.5,52.7,74.1,41.3,0,0,0,0,8,33.3,1,0,0,100.0,1,0,0,32,0,12,34,0,0,0,0,0,0,34,4,18,1,0,1,0,1,0,0,8,11,8.0
Jamin Davis,57905,LB,LV,2,0,0,100.0,0,0,23,0,0,36.2,41.6,71.9,66.7,54.3,74.7,1,0,0,0,23,0.0,0,0,0,118.8,2,0,0,5,0,7,16,10,0,0,10,0,0,6,1,8,1,0,3,0,2,1,0,38,19,19.0
Patrick Queen,57941,LB,PIT,17,35,0,78.9,1,0,25,1,0,31.3,44.0,69.2,73.8,58.5,29.8,4,12,0,0,50,21.1,31,1,2,115.5,71,1,0,970,5,643,1112,54,0,0,54,0,14,1058,72,397,69,32,81,7,90,17,3,814,459,11.5
K'Lavon Chaisson,57945,ED,NE,16,4,1,50.0,2,2,19,1,1,82.9,60.1,26.4,62.7,48.5,28.6,11,34,0,0,6,36.4,12,1,6,56.3,1,9,0,4,0,19,641,634,0,2,626,6,0,7,400,222,0,19,17,3,2,54,0,6,0,6.0
Willie Gay,57987,LB,MIA,15,3,0,75.0,0,0,17,0,0,69.5,66.7,81.0,61.9,55.1,85.1,0,1,0,0,18,0.0,0,2,0,90.6,9,1,0,76,2,70,132,21,0,0,21,0,0,111,21,41,32,7,13,2,12,2,0,75,31,8.3
Pete Werner,58093,LB,NO,17,18,0,73.7,0,0,20,3,0,49.5,57.2,83.3,53.0,66.8,46.8,0,5,0,0,42,15.8,15,2,0,110.2,28,1,0,613,3,332,683,34,0,0,34,0,0,649,48,303,33,30,62,3,38,6,1,346,181,12.4
Baron Browning,58095,ED,ARZ,15,13,0,93.3,1,0,1,1,0,42.7,51.6,16.8,64.0,58.8,27.3,3,22,0,1,11,28.6,14,0,5,65.0,14,2,0,12,0,114,519,470,0,0,470,0,0,49,198,207,37,13,22,2,15,27,0,94,99,6.7
Kenneth Murray Jr.,58099,LB,DAL,17,30,0,72.9,0,0,9,1,0,48.3,38.9,63.3,52.2,31.9,62.1,3,6,0,0,41,11.3,11,1,2,99.7,35,1,0,756,1,497,870,32,0,0,32,0,6,838,40,333,75,28,56,4,48,10,1,345,232,9.9
Derrick Barnes,58120,LB,DET,17,20,1,89.3,0,0,11,0,0,56.6,62.3,89.9,54.2,69.1,65.7,1,16,0,1,33,9.5,7,1,0,112.4,25,4,1,374,4,369,939,460,0,6,453,1,0,479,188,382,101,31,47,3,28,21,2,247,167,9.9
Buddy Johnson,58189,LB,IND,2,1,0,100.0,0,0,14,0,0,33.5,32.8,74.6,57.7,56.3,76.6,0,0,0,0,23,0.0,0,0,0,118.8,3,0,0,22,0,15,26,3,0,0,3,0,0,23,2,9,1,1,2,1,3,0,0,62,25,20.7
