player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Cam Taylor-Britt,83326,CB,CIN,8,6,0,66.7,1,0,7,0,0,57.0,57.6,83.5,63.8,56.2,38.8,1,0,0,0,35,19.2,5,3,5,133.5,14,0,0,35,294,220,348,1,0,0,1,0,0,347,5,123,18,7,15,1,21,1,3,183,64,13.1
Greg Newsome II,83341,CB,JAX,17,4,0,65.8,1,0,15,0,0,56.8,55.4,61.8,,48.1,43.3,0,0,0,1,61,20.6,13,2,5,107.2,48,0,0,43,679,493,748,11,0,0,11,0,0,737,0,255,15,13,46,1,73,0,5,582,161,12.1
Kitan Oladapo,83349,S,GB,3,0,1,100.0,0,0,12,0,0,51.0,56.9,76.3,72.3,64.9,61.5,0,1,0,0,11,16.7,1,0,0,101.0,4,0,0,16,0,36,68,4,0,0,4,0,13,64,4,28,35,2,5,0,4,1,0,33,27,8.3
Christian Izien,83360,S,TB,9,5,0,83.3,0,1,30,0,0,50.4,51.3,78.2,50.8,61.2,65.5,0,0,0,0,36,9.1,2,0,0,127.8,10,0,0,57,1,98,167,1,0,0,1,0,63,166,4,65,45,7,15,1,12,0,1,96,40,9.6
Jaycee Horn,83375,CB,CAR,16,8,0,59.3,2,0,5,0,0,61.6,57.9,44.6,37.9,51.0,28.3,0,1,0,5,62,30.2,16,2,9,79.6,35,0,0,104,837,543,955,6,0,0,6,0,0,949,9,403,8,9,29,1,59,1,5,498,177,14.2
Kyler Gordon,83451,CB,CHI,3,2,0,90.0,1,0,6,1,0,62.0,59.2,0.0,57.3,78.3,81.4,0,0,0,0,22,0.0,0,0,2,139.2,9,1,0,14,9,76,117,18,0,0,18,0,0,99,15,26,76,4,4,0,10,1,1,94,18,10.4
Alontae Taylor,83469,CB,NO,17,7,0,68.9,0,0,20,0,0,66.8,63.1,48.0,54.7,56.3,63.9,1,4,0,2,43,12.4,11,6,4,107.5,62,2,0,170,295,541,1056,24,0,0,24,0,1,1032,44,471,566,33,71,5,90,7,8,597,332,9.6
Jaden Crumedy,83508,DI,CAR,3,2,0,,0,0,5,0,0,,64.8,77.3,62.1,62.6,68.7,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,44,44,0,39,0,5,0,0,20,24,0,0,0,0,0,0,0,0,0,
Javontae Jean-Baptiste,83514,ED,WAS,3,4,0,,0,0,32,0,0,66.5,75.5,81.2,60.9,71.2,76.1,0,0,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,3,60,60,0,2,56,2,0,0,28,29,0,3,3,1,0,1,0,0,0,
Austin Ajiake,83826,LB,IND,14,5,0,69.2,0,0,14,0,0,34.0,40.7,81.4,69.5,59.9,40.9,1,1,0,0,14,17.6,3,0,0,107.5,9,1,0,105,4,113,157,29,0,0,29,0,5,128,9,35,14,4,9,0,13,3,1,69,39,7.7
Corey Ballentine,83833,CB,DAL,2,0,0,50.0,0,0,9,0,0,57.3,48.3,74.5,59.1,50.5,22.9,0,0,0,0,17,100.0,1,0,0,79.2,1,0,0,1,1,14,23,0,0,0,0,0,6,23,1,8,15,0,0,0,2,0,0,17,14,17.0
Jevon Holland,83873,S,NYG,14,14,0,58.1,1,0,21,0,0,53.0,58.4,61.4,52.7,73.8,73.7,0,2,0,1,36,10.9,7,3,4,93.9,18,0,0,190,5,512,835,20,0,0,20,0,535,815,8,315,85,9,43,0,31,2,2,263,83,14.6
Talanoa Hufanga,83903,S,DEN,17,19,1,58.3,0,1,10,0,0,69.3,72.0,69.5,66.1,76.1,68.5,1,5,0,0,63,12.4,14,6,4,99.5,21,2,0,362,9,689,1084,38,0,0,38,0,547,1046,32,363,128,30,80,5,36,8,2,262,118,12.5
Greg Dulcich,84068,TE,MIA,1,0,0,,0,0,17,0,0,,61.6,60.1,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Josh Newton,84268,CB,CIN,14,1,0,52.2,0,0,7,0,0,62.8,58.4,82.5,,35.6,26.9,0,0,0,0,23,38.9,7,3,0,79.3,12,0,0,27,198,181,275,0,0,0,0,0,1,275,0,94,49,3,10,0,23,0,1,106,65,8.8
Miles Battle,84301,CB,NE,2,0,0,50.0,0,0,19,0,0,71.1,67.7,87.7,,54.1,76.5,0,0,0,0,8,0.0,0,0,0,58.3,2,0,0,2,25,17,32,0,0,0,0,0,0,32,0,15,2,0,3,0,4,0,0,14,0,7.0
Markees Watts,84537,ED,TB,5,0,0,100.0,0,0,30,0,0,40.4,46.6,80.0,63.5,47.8,22.4,0,2,0,0,15,100.0,3,0,0,118.8,1,1,0,0,0,3,27,26,0,0,26,0,0,1,18,6,0,0,0,0,1,3,0,15,17,15.0
Darius Muasau,86008,LB,NYG,12,10,0,73.7,0,0,21,0,0,53.9,52.1,81.8,66.9,49.8,55.7,1,5,0,0,23,12.8,6,1,0,108.0,14,1,0,419,4,204,453,18,0,0,18,0,0,435,25,224,12,16,31,2,19,7,1,123,110,8.8
Rico Payton,86957,CB,NYG,2,2,0,50.0,0,0,21,0,0,53.5,55.6,76.0,,62.2,46.4,0,0,0,0,4,22.2,2,1,2,56.3,2,0,0,0,33,18,35,0,0,0,0,0,0,35,0,17,2,1,5,0,4,0,0,5,16,2.5
Chris Williams,87178,DI,CHI,14,3,0,,0,0,6,0,0,67.1,59.2,83.5,54.2,56.1,43.1,1,7,0,0,,16.7,2,0,0,0.0,0,0,0,0,0,0,219,219,9,143,26,41,0,0,127,92,0,1,7,1,0,8,0,0,0,
LaCale London,87179,DI,ATL,13,10,1,,1,0,2,0,0,60.0,70.6,36.3,65.7,71.7,46.8,0,8,0,0,,11.5,3,0,2,0.0,0,4,0,0,0,0,270,270,115,146,0,9,0,0,131,139,0,15,13,2,0,12,0,0,0,
Khristian Boyd,88444,DI,NO,4,4,0,,0,0,20,0,0,,55.4,80.1,56.5,55.0,71.3,1,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,77,77,28,49,0,0,0,0,36,41,0,0,1,0,0,2,0,0,0,
Gabriel Murphy,89099,ED,MIN,1,0,0,,0,0,18,0,0,,59.6,71.4,60.0,59.6,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,5,5,0,0,5,0,0,0,1,4,0,0,0,0,0,0,0,0,0,
Charles Woods,89148,CB,NE,11,1,0,70.0,0,0,19,0,0,58.3,57.1,80.4,,50.5,59.3,0,0,0,0,22,11.1,1,1,0,97.9,7,0,0,8,69,78,118,4,0,0,4,0,3,114,0,40,33,2,7,0,10,0,0,90,48,12.9
Andre Sam,89166,S,PHI,1,0,0,,0,0,24,0,0,,60.0,66.3,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,1,0,0,3,0,0,0,0,0,1,3,0,3,1,0,0,0,0,0,0,0,0,
Patrick O'Connell,89300,LB,SEA,5,2,0,66.7,0,0,29,0,0,63.4,72.6,75.0,76.1,69.3,82.7,0,0,0,0,7,0.0,0,0,0,72.9,2,1,0,52,0,28,55,1,0,0,1,0,0,54,1,26,2,6,7,0,3,1,0,11,1,5.5
Kyle Dugger,90621,S,PIT,16,21,1,66.7,0,0,25,0,0,48.3,53.2,84.6,82.9,57.2,59.9,0,5,1,2,64,13.6,9,2,1,109.1,22,1,1,260,8,460,743,12,0,0,12,0,397,731,16,267,66,11,36,1,33,6,4,294,112,13.4
Brodric Martin-Rhodes,91288,DI,LV,1,0,0,,0,0,23,0,0,,28.4,71.8,59.9,30.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,10,10,6,4,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,
Daniel Hardy,91336,ED,CHI,8,0,0,100.0,1,0,6,0,0,29.8,29.0,5.4,56.3,30.5,23.5,1,1,0,0,13,40.0,2,0,1,97.9,2,0,0,3,0,5,54,51,0,0,49,2,0,3,25,24,0,1,3,0,2,2,0,15,25,7.5
Ashton Dulin,91479,WR,IND,1,0,0,,0,0,14,0,0,,59.8,64.2,59.4,,,0,0,0,0,,,0,0,0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,
E.J. Speed,94351,LB,HST,16,7,1,71.4,0,0,13,0,0,54.8,54.7,10.4,50.3,62.9,48.3,2,5,0,0,15,17.0,9,0,3,96.6,20,0,0,372,3,238,429,16,0,0,16,0,1,413,32,159,37,24,37,3,28,7,1,155,96,7.8
Jordan Davis,94854,DI,PHI,17,19,6,,0,0,24,0,0,61.7,72.7,88.2,62.6,71.6,45.1,1,21,0,0,,11.4,9,0,0,0.0,0,5,0,1,0,0,686,685,187,494,0,4,0,1,380,306,0,41,51,7,0,27,0,0,0,
Malik Washington,97108,WR,MIA,1,0,0,,0,0,17,0,0,,60.0,60.0,,60.0,,0,0,0,0,,,0,0,2,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Bralyn Lux,97143,CB,CIN,2,1,0,100.0,0,0,7,0,0,69.2,73.7,73.7,,74.0,77.8,0,0,0,0,5,0.0,0,0,0,85.4,2,0,0,0,1,14,19,0,0,0,0,0,0,19,0,5,18,1,2,0,2,0,0,9,3,4.5
Isaiah Williams,97156,WR,NYJ,1,0,0,,0,0,22,0,0,,60.0,60.0,,60.0,,0,0,0,0,,,0,0,1,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Mike Sainristil,97180,CB,WAS,17,11,0,71.3,3,0,32,0,0,52.3,52.8,87.0,52.6,52.5,55.8,0,1,0,4,38,13.5,12,7,4,109.7,67,0,0,133,499,607,1024,14,0,0,14,0,1,1010,6,411,377,19,66,2,94,1,9,767,366,11.4
Marcus Harris,97230,CB,TEN,9,3,0,52.0,0,1,31,0,0,67.4,68.4,82.9,59.9,68.1,88.0,0,2,0,0,38,0.0,0,4,1,83.9,13,0,0,43,168,220,342,3,0,0,3,0,0,339,8,114,128,5,20,1,25,2,1,151,86,11.6
Rashad Wisdom,97249,S,TB,1,0,0,,0,0,30,0,0,60.9,61.3,71.3,,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,3,3,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,
Jaden Davis,97250,CB,ARZ,3,0,0,100.0,0,0,1,0,0,49.3,52.1,75.3,55.5,66.8,28.9,0,0,0,0,12,0.0,0,0,0,139.6,3,0,0,4,0,26,38,0,0,0,0,0,1,38,2,10,33,1,2,0,3,0,1,24,9,8.0
Reddy Steward,97289,CB,DAL,15,9,0,86.5,0,0,9,0,0,58.3,50.9,48.3,48.5,35.8,45.3,0,3,0,0,28,17.2,11,3,4,99.5,45,2,0,86,8,312,519,12,0,0,12,0,29,507,25,182,384,18,44,4,52,5,0,410,328,9.1
Dell Pettus,97290,S,NE,11,2,0,61.5,0,1,19,0,0,73.9,78.6,81.5,67.1,74.0,51.7,0,1,0,0,24,17.6,3,1,0,80.3,8,1,0,56,1,77,113,1,0,0,1,0,20,112,4,32,32,6,12,0,13,2,0,84,28,10.5
Jordan Clark,97324,CB,NYJ,5,1,0,80.0,1,0,22,0,0,50.6,46.4,0.0,59.0,42.9,36.4,0,0,0,0,30,23.1,3,0,1,135.4,16,0,0,16,8,100,139,3,0,0,3,0,0,136,1,38,112,3,9,0,20,0,3,140,70,8.8
Thomas Harper,97325,S,DET,10,8,0,50.0,0,1,11,0,0,75.9,78.0,84.7,50.9,73.2,74.5,0,0,0,1,39,8.9,4,2,0,78.8,5,0,0,90,1,285,482,1,0,0,1,0,385,481,2,195,5,6,33,1,10,0,2,84,4,16.8
Nic Jones,97327,CB,NYG,4,1,0,66.7,0,0,21,0,0,53.9,47.1,72.2,,41.1,78.5,0,0,0,0,30,0.0,0,0,0,109.7,2,0,0,5,1,16,20,0,0,0,0,0,1,20,0,4,13,0,2,0,3,0,0,39,3,19.5
Cameron Mitchell,97340,CB,IND,10,0,0,56.5,1,1,14,0,0,58.4,58.4,83.4,57.7,56.8,44.3,0,0,0,0,23,19.0,4,4,2,109.1,13,0,0,25,210,175,261,3,0,0,3,0,1,258,1,85,22,7,17,2,23,0,4,112,39,8.6
Dadrion Taylor-Demerson,97348,S,ARZ,12,12,0,66.7,0,0,1,0,0,57.3,59.9,83.6,51.6,66.4,74.8,0,0,0,2,22,10.0,6,2,0,52.6,16,0,0,148,1,299,452,5,0,0,5,0,257,447,4,149,41,12,42,0,24,0,0,171,98,10.7
Christian Roland-Wallace,97374,S,KC,10,5,1,75.0,0,0,16,0,0,75.0,78.8,80.7,68.2,72.4,90.1,0,0,0,1,15,0.0,0,1,0,83.0,9,0,0,65,0,125,190,9,0,0,9,0,60,181,5,60,56,7,18,0,12,0,1,73,35,8.1
Jarrian Jones,97486,CB,JAX,15,7,0,58.5,1,0,15,1,0,78.7,78.4,84.5,58.4,68.8,84.2,1,0,0,3,54,4.3,2,7,7,62.2,31,0,0,43,211,383,517,1,0,0,1,0,1,516,9,125,261,14,37,5,53,1,2,285,154,9.2
Dean Clark,97495,S,NYJ,4,1,0,66.7,0,0,22,0,0,61.5,54.2,81.4,,33.3,35.5,0,0,0,0,13,25.0,3,0,0,118.8,4,0,0,40,3,111,180,5,0,0,5,0,117,175,0,69,15,3,8,0,6,0,1,31,25,7.8
Nick Cross,97514,S,IND,17,16,0,72.5,1,1,14,0,0,50.4,59.8,68.8,69.0,72.0,60.5,3,10,0,1,53,11.7,15,3,2,110.0,50,3,0,551,29,641,1111,102,0,0,102,0,279,1009,60,410,150,38,97,4,69,16,4,567,240,11.3
Dax Hill,97519,CB,CIN,17,14,1,67.1,2,0,7,0,0,67.7,64.9,46.5,50.4,60.0,63.0,0,1,0,1,40,10.6,10,6,6,95.0,57,0,0,209,409,590,1012,19,0,0,19,0,9,993,21,401,366,23,70,2,85,1,4,536,290,9.4
Drake Thomas,97525,LB,SEA,17,23,0,64.5,0,1,29,0,0,66.1,73.0,82.4,66.6,77.0,46.8,3,10,0,1,27,16.8,16,6,1,72.8,40,4,0,585,2,424,761,73,0,0,73,0,0,688,75,262,101,24,56,7,62,17,0,352,250,8.8
Quincy Riley,97539,CB,NO,15,8,0,58.8,1,1,20,0,0,61.1,61.1,54.1,,61.4,51.6,0,0,0,1,37,14.3,6,8,3,96.4,30,0,0,14,570,385,592,0,0,0,0,0,0,592,0,207,8,12,28,0,51,0,3,415,121,13.8
Tyrique Stevenson,97562,CB,CHI,13,6,0,62.7,3,2,6,2,0,59.6,64.4,52.8,,85.4,58.4,0,0,0,1,57,14.5,8,8,5,93.8,37,0,0,37,521,356,588,2,0,0,2,0,0,586,0,232,28,11,41,1,59,0,1,578,216,15.6
Elijah Chatman,97568,DI,NYG,5,0,0,,0,0,21,0,0,,46.8,79.9,64.1,40.9,70.1,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,83,83,1,59,6,17,0,0,35,48,0,1,3,0,0,1,0,0,0,
Tyler Davis,97610,DI,LA,17,19,2,,0,0,26,1,0,62.9,68.4,86.5,57.7,68.7,73.3,0,16,0,0,,4.1,2,0,0,0.0,0,1,0,0,0,0,475,475,38,371,15,51,0,0,242,233,0,21,28,0,0,17,0,0,0,
Josh Wallace,97676,S,LA,11,0,1,71.4,0,0,26,0,0,67.8,71.8,81.2,88.3,70.0,59.2,1,1,0,1,52,15.8,3,1,3,92.6,15,0,0,28,1,188,270,4,0,0,4,0,31,266,8,74,206,8,16,0,21,2,1,176,98,11.7
Alex Austin,97683,CB,NE,4,3,0,76.9,0,0,19,0,0,38.5,42.6,80.8,57.4,64.3,69.3,0,1,0,0,47,7.7,1,1,2,142.5,10,0,0,12,126,92,144,1,0,0,1,0,1,143,2,50,4,2,9,1,13,1,1,158,26,15.8
Dorian Williams,97694,LB,BUF,16,13,1,70.6,0,0,4,1,0,45.6,54.6,51.3,63.4,62.7,45.4,3,9,0,0,19,16.4,10,0,1,123.9,12,0,0,298,2,163,433,89,0,0,89,0,0,344,56,214,44,21,38,1,17,12,2,97,57,8.1
Ronnie Hickman Jr.,97702,S,CLV,17,30,0,58.8,0,0,8,0,0,72.7,69.8,86.4,51.4,61.7,70.4,0,4,0,2,36,11.5,12,4,0,68.5,20,0,0,226,13,584,1042,26,0,0,26,0,706,1016,9,449,71,14,62,1,34,4,1,262,174,13.1
Storm Duck,97705,CB,MIA,2,1,0,66.7,0,0,17,0,0,38.4,42.2,76.8,,64.4,75.4,0,0,0,0,27,0.0,0,0,0,147.2,4,0,0,4,36,27,44,3,0,0,3,0,0,41,0,17,1,0,1,0,6,0,1,72,9,18.0
Omar Speights,97723,LB,LA,16,16,0,75.7,0,0,26,0,0,63.8,70.0,55.2,73.3,71.4,64.8,1,5,0,0,27,11.4,10,1,1,90.8,28,0,0,638,1,334,673,5,0,0,5,0,0,668,24,315,29,27,62,0,37,6,0,228,108,8.1
Mohamed Kamara,97731,ED,TB,3,0,0,,0,0,30,0,0,60.0,69.1,70.2,68.4,60.0,,0,1,0,0,,,0,0,0,0.0,0,0,0,0,0,1,5,5,0,0,5,0,0,0,2,2,0,0,0,0,0,1,0,0,0,
Javon Solomon,97821,ED,BUF,15,2,0,,0,0,4,0,0,65.2,42.7,14.7,51.8,46.5,78.3,1,6,0,0,,0.0,0,0,2,0.0,0,1,0,41,0,8,195,154,0,2,146,6,0,41,119,68,0,6,5,0,0,8,0,0,0,
Jack Kiser,97889,LB,JAX,4,3,0,100.0,0,0,15,0,0,44.3,49.7,73.1,57.3,73.9,44.9,0,0,0,0,16,16.7,2,0,0,152.9,5,0,0,40,0,34,43,1,0,0,1,0,0,42,2,7,2,2,7,0,5,0,1,56,35,11.2
Tyler Nubin,97895,S,NYG,13,17,1,77.1,0,0,21,1,1,60.0,57.2,85.8,67.2,47.1,48.1,0,4,0,0,87,16.9,15,1,1,119.5,27,0,0,315,18,475,811,15,0,0,15,0,348,796,26,310,115,20,57,6,35,4,2,286,188,10.6
Adetomiwa Adebawore,97934,DI,IND,17,6,0,,0,0,14,1,0,59.8,49.8,46.8,66.5,36.4,34.6,1,29,0,0,,30.3,10,0,3,0.0,0,4,0,0,0,3,548,548,21,394,11,122,0,0,359,186,0,18,17,2,0,34,0,0,0,
Levelle Bailey,97956,LB,DEN,1,0,0,,0,0,10,0,0,64.8,63.9,71.8,56.9,,,0,0,0,0,,,0,0,0,0.0,0,0,0,8,0,9,11,2,0,0,2,0,0,9,2,0,1,0,0,0,0,0,0,0,0,
Jahfari Harvey,98118,ED,LV,2,1,1,,0,0,23,0,0,60.0,45.2,78.8,59.2,37.4,27.7,0,0,0,0,,50.0,1,0,0,0.0,0,0,0,0,0,0,27,27,0,0,27,0,0,0,16,11,0,0,0,0,0,0,0,0,0,
Derick Hall,98130,ED,SEA,14,12,0,100.0,1,0,29,0,0,29.7,73.3,69.6,72.6,73.9,43.1,11,27,0,0,17,21.6,8,1,2,118.8,1,3,0,1,0,17,419,418,0,3,398,17,0,1,259,143,0,14,17,1,1,41,0,17,5,17.0
Ricky Barber,98154,DI,WAS,2,1,0,,0,0,32,0,0,,42.9,76.1,62.5,40.5,71.7,0,0,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,0,32,32,11,19,0,2,0,0,16,16,0,1,3,0,0,1,0,0,0,
Jordan Magee,98155,LB,WAS,16,8,0,90.9,0,0,32,0,0,53.1,55.0,79.3,58.5,57.3,57.2,0,3,0,0,57,12.7,7,0,0,121.6,20,0,0,271,1,156,364,40,0,0,40,0,0,324,18,190,52,24,40,3,22,3,1,210,141,10.5
Jalen Graham,98165,LB,SF,1,1,0,,0,0,28,0,0,,72.9,64.3,,66.4,71.7,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,
Derek Stingley Jr.,98253,CB,HST,17,3,0,52.3,1,1,13,0,0,75.8,69.1,42.3,53.4,35.9,28.9,0,0,1,4,56,21.4,9,9,8,67.4,34,0,0,77,825,591,914,3,0,0,3,0,0,911,3,320,9,6,30,1,65,0,3,499,131,14.7
Colby Wooden,98312,DI,GB,17,16,1,,0,0,12,0,0,59.4,49.9,76.1,58.3,46.2,34.2,3,8,0,0,,12.3,7,0,1,0.0,0,0,0,0,0,2,587,587,163,381,15,28,0,0,290,295,0,27,34,6,0,11,0,0,0,
Alex Wright,98318,ED,CLV,14,7,1,100.0,1,1,8,0,0,77.5,78.6,77.4,64.7,73.6,55.0,4,11,0,0,3,11.4,4,0,1,79.2,2,7,0,1,0,14,470,469,0,2,446,21,0,1,262,194,0,24,24,7,2,22,0,1,7,0.5
George Karlaftis,98319,ED,KC,16,9,1,66.7,0,0,16,1,0,49.6,76.2,65.5,75.9,70.4,53.8,16,43,0,0,8,12.5,6,0,3,77.1,2,7,0,1,0,14,762,761,0,19,680,62,0,1,462,286,0,28,33,4,3,66,0,14,9,7.0
Darius Alexander,98333,DI,NYG,16,6,1,,0,0,21,0,0,69.6,42.9,85.3,54.9,30.3,32.6,2,9,0,0,,18.2,4,0,0,0.0,0,4,0,1,0,1,394,393,15,234,10,134,0,1,258,135,0,12,12,1,0,15,0,0,0,
Marshawn Kneeland,98344,ED,DAL,7,4,0,,0,0,9,0,0,61.6,51.7,85.7,58.1,43.8,27.4,0,2,0,0,,31.3,5,0,0,0.0,0,1,0,1,0,0,164,163,0,4,142,17,0,1,76,88,0,7,7,2,0,3,0,0,0,
Kayvon Thibodeaux,98444,ED,NYG,10,2,0,100.0,1,0,21,0,0,42.5,66.0,65.1,58.0,80.7,27.9,6,23,0,0,16,29.0,9,0,3,137.5,4,3,0,2,0,8,494,492,0,6,431,55,0,2,324,162,0,19,20,3,4,32,1,30,18,7.5
Eric Watts,98459,ED,NYJ,4,3,0,100.0,0,0,22,0,0,34.7,54.3,82.2,50.8,67.5,77.2,0,1,0,0,22,0.0,0,0,0,158.3,2,0,0,0,0,3,103,103,0,3,100,0,0,0,52,48,0,2,6,0,2,1,1,29,5,14.5
Zach Harrison,98503,DI,ATL,7,4,1,,0,2,2,0,0,60.0,65.4,84.3,78.0,49.1,53.2,0,11,0,0,,15.8,3,0,0,0.0,0,5,0,0,0,0,239,239,0,80,74,85,0,0,114,125,0,9,12,1,0,16,0,0,0,
Jared Wiley,98508,TE,KC,1,0,0,,0,0,16,0,0,,60.0,60.0,,60.0,,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,
Tatum Bethune,98532,LB,SF,10,35,0,80.6,1,0,28,0,0,42.5,52.0,0.0,64.8,73.2,50.3,0,3,0,0,50,16.0,16,3,5,106.4,29,1,0,479,1,271,498,10,0,0,10,0,0,488,32,195,8,19,49,3,36,4,0,343,246,11.8
Swayze Bozeman,98634,LB,NYG,3,3,0,60.0,0,0,21,0,0,42.8,38.8,71.4,57.9,50.3,75.5,0,0,0,0,17,0.0,0,0,0,77.9,3,0,0,34,0,18,35,0,0,0,0,0,0,35,2,15,1,0,0,0,5,0,0,31,22,10.3
Nick Jackson,98640,LB,TB,1,0,0,100.0,0,0,30,0,0,35.6,37.0,72.1,54.8,58.0,71.7,0,0,0,0,16,0.0,0,0,0,118.8,1,0,0,13,0,6,18,2,0,0,2,0,0,16,2,10,3,1,1,0,1,0,0,16,19,16.0
Kaiir Elam,98693,CB,TEN,12,4,0,60.8,1,0,31,2,0,56.3,56.8,86.1,58.5,55.5,68.9,0,0,0,0,65,9.1,3,1,3,113.8,31,0,0,39,475,334,536,9,0,0,9,0,2,527,2,200,11,6,26,0,51,0,4,427,139,13.8
Mohamoud Diabate,98780,LB,CLV,17,16,0,88.9,0,1,8,1,0,51.4,59.9,78.5,49.9,68.0,53.6,0,3,0,0,19,13.2,7,0,0,129.6,8,0,0,239,0,111,298,33,1,0,32,0,4,265,15,172,22,17,30,3,9,3,1,56,39,7.0
Ty'Ron Hopper,98781,LB,GB,11,0,0,100.0,0,0,12,0,0,69.5,57.2,80.5,54.9,48.9,51.7,0,2,0,0,18,15.4,2,0,0,118.8,2,0,0,75,0,46,126,42,0,0,42,0,0,84,9,71,9,4,11,1,2,2,0,27,11,13.5
Jay Ward,98833,S,MIN,14,5,0,100.0,0,0,18,1,0,68.6,70.4,84.3,44.8,71.3,52.6,0,3,0,0,28,21.2,7,0,0,118.8,2,0,0,93,29,96,249,14,0,0,14,0,72,235,6,147,40,7,21,1,2,3,0,39,17,19.5
Cor'Dale Flott,98834,CB,NYG,14,5,0,53.0,0,1,21,0,0,68.1,65.6,87.0,58.5,48.4,44.6,0,0,0,1,36,15.9,7,8,2,72.8,35,0,0,79,665,500,798,4,0,0,4,0,3,794,1,297,47,6,32,3,66,0,1,440,115,12.6
Jaylen McCollough,98845,S,LA,17,6,0,71.4,0,0,26,0,0,72.4,69.1,83.6,51.7,59.2,44.4,0,0,0,0,27,18.9,10,3,0,82.2,30,2,0,243,0,347,510,24,0,0,24,0,115,486,35,128,128,20,37,0,42,2,0,208,134,6.9
Demani Richardson,98852,S,CAR,4,0,0,,0,0,5,1,0,61.7,71.5,73.2,,73.4,81.7,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,5,0,10,29,0,0,0,0,0,23,29,0,19,1,0,3,0,0,0,0,0,0,
Jordan Battle,98857,S,CIN,17,31,0,63.2,0,2,7,0,0,54.5,61.5,82.5,59.4,72.3,59.1,0,2,0,4,58,13.7,17,2,0,85.5,24,0,0,329,17,600,1047,21,0,0,21,0,617,1026,21,426,63,20,76,2,38,2,3,402,245,16.8
DeMarcco Hellams,98863,S,ATL,3,1,0,100.0,0,0,2,0,0,27.8,28.9,68.9,60.0,64.2,26.5,0,1,0,0,7,50.0,1,0,0,95.8,1,0,0,5,0,7,13,0,0,0,0,0,2,13,1,5,6,0,0,0,1,1,0,7,12,7.0
Nehemiah Pritchett,98875,CB,SEA,9,2,0,71.4,0,0,29,0,0,58.7,56.2,77.7,,48.1,44.8,0,0,0,0,20,20.0,1,2,0,138.7,5,0,0,14,73,53,89,0,0,0,0,0,0,89,0,36,2,0,2,0,7,0,3,63,9,12.6
Jaylin Simpson,98876,S,GB,1,0,0,57.1,1,0,12,0,0,30.0,30.3,77.0,,45.6,59.7,0,0,0,0,17,11.1,1,0,2,80.7,4,0,0,4,58,35,62,0,0,0,0,0,0,62,0,27,0,1,8,0,7,0,0,52,10,13.0
Brandin Echols,98900,CB,PIT,16,4,0,70.3,0,1,25,0,0,73.3,72.1,85.4,60.2,58.4,53.2,1,1,0,2,58,15.1,8,3,2,87.1,45,1,0,40,146,365,523,12,0,0,12,0,3,511,12,146,321,21,41,2,64,3,2,446,227,9.9
Zacch Pickens,98911,DI,KC,3,1,0,,0,0,16,0,0,55.8,29.7,78.9,52.4,38.1,71.1,0,1,0,0,,0.0,0,0,1,0.0,0,0,0,0,0,0,59,59,6,51,0,2,0,0,20,39,0,2,4,0,0,1,0,0,0,
