player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Max Melton,129889,CB,ARZ,9,3,12.5,65.0,99.6,9.3,6.1,0,0,4,10.0,1,56.1,45.1,84.3,59.0,25.8,32.8,0,40,10.7,3,2,4,93.0,26,260,261,4,22,40,0,353,95,1.5,13.6
Nick Herbig,129920,ED,PIT,15,0,4.8,80.0,12.2,6.1,4.9,0,1,2,20.0,25,68.5,86.7,49.1,87.1,71.4,48.3,1,24,33.3,2,2,3,64.2,8,49,402,10,4,10,0,89,44,1.8,11.1
Jordan Turner,129932,LB,DEN,1,1,6.5,50.0,82.4,13.0,6.5,0,0,0,0.0,10,55.1,72.5,73.3,70.2,77.9,77.6,0,6,0.0,0,0,0,56.3,1,14,17,0,0,2,0,6,3,0.5,6.0
Shaun Dolac,130406,LB,LA,3,0,3.0,75.0,82.6,6.3,4.8,0,0,0,0.0,26,68.4,88.5,74.0,64.0,88.2,80.4,0,13,0.0,0,0,0,90.6,3,19,23,0,2,4,0,25,15,1.3,8.3
Adin Huntington,130493,DI,CLV,12,0,,,1.2,,,1,0,0,,8,60.0,64.8,82.7,59.1,64.8,73.8,0,,,0,0,1,0.0,0,1,83,0,0,0,0,0,0,0.0,
Quinyon Mitchell,130628,CB,PHI,16,5,13.6,43.9,100.0,16.0,7.0,0,1,15,18.3,24,74.5,74.4,88.1,,65.3,56.3,0,34,10.3,4,7,6,58.4,36,610,610,5,30,82,0,389,98,0.7,10.8
Byron Murphy II,131252,DI,SEA,17,1,,,1.6,,,0,0,0,,29,75.4,72.4,88.6,76.6,53.3,62.3,0,,12.5,1,0,1,0.0,0,8,502,13,6,0,0,0,0,0.0,
Shemar Turner,131273,ED,CHI,5,0,,,5.6,,,0,0,0,,6,62.0,34.4,81.1,51.4,30.9,27.4,0,,0.0,0,0,0,0.0,0,2,36,0,1,0,0,0,0,0.0,
Omarr Norman-Lott,131624,DI,KC,5,0,,,2.0,,,0,0,0,,16,59.6,54.3,79.5,59.5,50.9,41.3,0,,33.3,1,0,0,0.0,0,1,49,2,2,0,0,0,0,0.0,
Christian Gonzalez,131679,CB,NE,14,4,12.2,46.1,99.6,12.9,5.9,1,1,10,13.2,19,68.4,65.8,87.7,56.1,49.0,89.4,0,40,0.0,0,7,3,64.4,35,480,482,14,38,76,1,357,69,0.8,10.2
Noah Sewell,131722,LB,CHI,12,3,4.9,82.1,85.8,8.0,6.5,0,0,0,0.0,6,29.3,41.9,47.6,42.4,70.5,30.6,0,41,23.1,6,0,2,133.5,23,194,226,4,17,28,3,209,151,1.1,9.1
Tuli Tuipulotu,131840,ED,LAC,16,3,5.1,71.4,9.1,8.0,5.7,0,0,0,0.0,27,36.1,68.2,88.8,74.4,57.6,32.9,0,11,50.0,8,0,0,85.4,5,42,464,15,5,7,0,40,28,1.0,8.0
Connor O'Toole,131869,ED,SEA,3,0,,,12.5,,,0,0,0,,29,60.0,62.9,76.3,53.8,64.9,,0,,,0,0,0,0.0,0,1,8,0,0,0,0,0,0,0.0,
Carson Bruener,131889,LB,PIT,1,0,,,100.0,,,0,0,0,,25,60.0,61.6,64.2,,60.0,,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Cooper McDonald,131903,ED,KC,4,0,10.5,50.0,81.8,18.0,9.0,0,0,0,0.0,16,47.5,60.7,78.3,52.8,70.0,30.5,0,23,0.0,0,0,0,91.7,1,18,22,0,1,2,0,23,5,1.3,23.0
Chau Smith-Wade,131956,CB,CAR,16,2,5.6,82.0,97.5,9.2,7.5,3,0,1,2.0,5,57.2,58.1,84.3,53.2,59.9,76.3,1,25,9.8,4,1,3,98.8,41,393,403,16,35,50,1,405,206,1.1,9.9
Jaylen Watson,131960,CB,KC,15,2,11.0,59.3,97.1,13.7,8.2,1,0,4,6.8,16,68.4,74.1,87.8,79.9,83.5,77.1,2,39,7.0,3,3,5,69.0,35,511,526,11,38,59,0,447,173,0.9,12.8
Sam Webb,134606,CB,CLV,5,1,9.4,61.5,100.0,10.6,6.5,1,0,1,7.7,8,59.0,57.1,0.0,,60.5,29.6,0,21,25.0,2,1,3,113.8,8,87,87,2,5,13,2,65,19,0.8,8.1
Keondre Jackson,138208,S,BLT,1,0,,,100.0,,,0,0,0,,3,60.0,61.2,60.4,,,,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Keyon Martin,138344,CB,BLT,10,0,4.6,73.3,90.3,8.2,6.0,0,0,1,6.7,3,59.8,53.4,0.0,79.2,29.7,67.0,0,12,8.3,1,1,2,104.0,11,93,103,6,11,15,1,67,54,0.7,6.1
Micah Robinson,139042,CB,TEN,2,2,14.2,50.0,100.0,8.0,4.0,0,0,2,20.0,31,68.4,70.6,77.2,,72.2,53.6,0,29,14.3,1,1,0,79.6,5,43,43,0,4,10,0,86,13,2.2,17.2
Myles Harden,141857,CB,CLV,16,5,6.6,74.2,98.5,7.0,5.2,1,1,4,6.5,8,44.8,48.7,83.9,91.0,57.1,29.7,0,40,22.2,8,3,6,116.7,46,339,344,10,23,62,5,385,259,1.2,8.4
Teddye Buchanan,142172,LB,BLT,14,8,3.8,75.6,85.7,9.6,7.3,0,0,1,2.4,3,49.8,59.9,84.6,55.2,70.8,75.9,0,26,9.5,4,1,0,100.6,31,312,364,8,30,41,1,269,173,0.9,8.7
Malik Mustapha,142358,S,SF,12,4,12.4,66.7,98.6,22.6,15.1,0,1,1,3.7,28,61.7,64.5,85.4,75.3,65.6,59.6,1,44,15.0,6,1,0,85.0,18,428,434,4,30,27,1,197,58,0.5,10.9
Elijah Ponder,142819,ED,NE,15,0,11.0,100.0,7.6,11.0,11.0,0,0,0,0.0,19,54.9,54.4,85.2,56.9,52.3,61.0,0,17,0.0,0,0,0,118.8,1,11,145,4,2,1,0,17,6,1.5,17.0
Donovan Ezeiruaku,143824,ED,DAL,17,0,,,8.3,,,0,0,0,,9,88.7,73.2,62.8,66.8,62.9,37.9,0,,50.0,5,0,2,0.0,0,31,374,6,5,0,0,0,0,0.0,
Brandon Johnson,143858,S,PHI,2,0,,,100.0,,,0,0,0,,24,55.3,57.5,72.5,,64.7,27.9,0,,100.0,1,0,0,0.0,0,16,16,0,0,0,0,0,0,0.0,
Kevin Knowles II,143885,CB,KC,6,0,9.7,33.3,87.7,13.5,4.5,0,0,1,8.3,16,50.1,54.3,78.5,63.5,69.1,48.5,0,13,25.0,1,1,0,42.4,4,57,65,1,3,12,0,22,16,0.4,5.5
Zeek Biggers,143903,DI,MIA,9,1,,,1.5,,,0,0,0,,17,66.0,44.0,84.3,45.7,45.0,40.9,0,,25.0,1,0,0,0.0,0,2,137,2,2,0,0,0,0,0.0,
Kamren Kinchens,143946,S,LA,17,8,6.4,91.2,98.3,17.5,15.9,0,2,4,11.8,26,75.0,72.0,56.7,64.2,63.8,63.1,2,33,10.6,7,4,1,103.8,31,574,584,15,51,34,3,263,76,0.5,8.5
James Williams,143955,LB,TEN,4,3,0.0,80.0,88.9,5.6,4.5,0,0,0,0.0,31,52.9,60.8,74.7,64.7,69.7,51.5,0,18,10.0,1,0,0,91.3,8,48,54,5,6,10,0,59,62,1.3,7.4
Barrett Carter,144109,LB,CIN,16,17,5.3,86.8,91.6,6.6,5.8,0,0,3,4.4,7,35.5,39.5,86.0,48.0,50.1,45.0,1,44,18.2,12,3,0,115.3,59,417,455,12,37,68,2,733,481,1.9,12.4
Andrew Mukuba,144129,S,PHI,11,1,9.9,76.2,99.5,25.3,19.2,1,0,2,9.5,24,46.9,57.6,89.3,78.4,81.0,51.4,2,77,23.5,4,2,1,117.7,16,432,434,5,12,21,3,308,197,0.8,19.3
Jeremiah Trotter Jr.,144142,LB,PHI,4,2,-3.3,100.0,87.8,10.0,10.0,0,0,0,0.0,24,68.5,82.1,75.7,90.8,74.7,40.8,0,5,16.7,1,0,0,80.6,3,36,41,2,3,3,0,10,20,0.3,3.3
Nate Wiggins,144143,CB,BLT,17,2,10.7,59.8,99.7,10.8,6.4,0,2,11,10.8,3,62.8,63.8,89.0,54.7,63.9,60.6,3,40,12.5,8,9,5,73.0,61,690,692,14,54,102,2,656,188,1.0,10.8
Ashton Gillotte,144154,ED,KC,17,0,0.5,100.0,7.6,10.5,10.5,1,0,0,0.0,16,59.0,58.5,89.7,48.7,66.7,59.9,1,34,50.0,3,0,1,79.2,2,22,289,1,3,2,0,41,40,2.0,20.5
Rayuan Lane III,144326,S,JAX,11,0,7.5,66.7,96.0,21.5,14.3,0,0,1,16.7,15,57.6,61.2,80.8,51.0,76.9,32.9,0,14,50.0,2,1,0,75.0,4,97,101,1,2,6,0,25,21,0.3,6.3
Cobee Bryant,144575,CB,ATL,6,1,15.1,85.7,100.0,5.2,4.4,0,0,0,0.0,2,38.1,40.4,79.2,,55.1,56.5,0,45,20.0,2,0,1,142.6,12,68,68,2,7,14,1,196,21,3.2,16.3
Danny Stutsman,144632,LB,NO,12,2,-0.9,90.0,87.0,9.4,8.5,0,0,0,0.0,20,62.7,71.5,80.7,56.6,74.5,59.5,0,10,14.3,2,0,0,89.6,9,87,100,2,10,10,0,55,45,0.6,6.1
Billy Bowman Jr.,144638,CB,ATL,6,3,7.6,66.7,93.5,8.8,5.8,0,0,1,3.3,2,52.7,49.9,80.8,70.8,36.4,36.1,1,54,20.0,4,1,1,75.8,20,188,201,5,13,30,0,231,143,1.3,11.6
Collin Oliver,144664,ED,GB,1,0,,,5.6,,,0,0,0,,12,75.7,54.9,76.4,53.5,47.8,27.5,0,,0.0,0,0,0,0.0,0,1,18,1,1,0,0,0,0,0.0,
Nickolas Martin,144667,LB,SF,1,1,6.3,100.0,90.9,2.5,2.5,0,0,0,0.0,28,47.9,50.2,69.9,60.0,61.9,78.9,0,28,0.0,0,0,0,117.7,4,10,11,1,3,4,0,49,24,4.9,12.3
Barryn Sorrell,144739,ED,GB,12,2,5.0,100.0,5.9,6.0,6.0,1,0,0,0.0,12,64.9,56.7,50.9,54.1,61.2,68.4,0,6,0.0,0,0,1,91.7,1,7,118,1,1,1,0,6,1,1.0,6.0
Cooper DeJean,144867,CB,PHI,16,7,9.7,62.7,96.2,11.1,7.0,4,1,13,15.7,24,78.6,77.0,47.1,59.3,71.8,65.4,2,50,11.3,7,13,6,77.3,52,612,636,18,48,83,1,579,293,1.0,11.1
Dante Trader Jr.,144900,S,MIA,16,1,3.9,88.9,96.2,15.0,13.3,0,0,3,16.7,17,52.8,59.0,82.2,38.1,80.2,54.0,0,42,28.6,8,1,1,130.8,16,255,265,6,19,18,1,197,135,0.8,12.3
Chop Robinson,144901,ED,MIA,15,0,7.8,100.0,9.7,6.5,6.5,2,0,0,0.0,17,54.4,54.8,31.9,59.4,59.0,41.7,0,17,71.4,5,0,4,144.8,4,26,267,6,2,4,1,37,7,1.4,9.3
Kendell Brooks,144946,S,TEN,5,1,7.5,100.0,97.9,21.8,21.8,0,0,0,0.0,31,59.1,61.2,81.4,56.6,65.2,34.9,0,23,30.8,4,0,0,145.8,4,94,96,4,8,4,1,38,13,0.4,9.5
Austin Booker,144990,ED,CHI,10,0,,,1.5,,,1,0,0,,6,76.4,61.8,25.0,66.4,57.9,52.4,0,,50.0,2,0,5,0.0,0,5,328,5,2,0,0,0,0,0.0,
Jordan Hancock,145067,S,BUF,10,2,2.4,60.0,98.3,37.7,22.6,0,0,1,20.0,4,66.4,70.2,79.6,65.6,68.0,58.7,0,13,12.5,1,1,0,72.9,3,117,119,2,5,5,0,25,22,0.2,8.3
Denzel Burke,145070,CB,ARZ,15,2,11.4,63.0,99.8,11.2,7.1,1,1,8,14.8,1,61.2,55.6,56.8,58.5,35.4,34.5,3,32,15.2,5,5,6,81.6,34,402,403,10,26,54,3,410,123,1.1,12.1
Jack Sawyer,145071,ED,PIT,16,1,9.6,80.0,20.3,4.8,3.8,2,0,0,0.0,25,35.4,51.4,41.5,59.7,60.5,55.8,2,29,0.0,0,0,2,112.5,8,40,197,3,4,10,1,140,61,3.7,17.5
JT Tuimoloau,145074,ED,IND,12,1,17.0,100.0,5.1,6.0,6.0,0,0,0,0.0,14,52.5,60.6,56.5,63.3,60.2,61.8,0,17,50.0,1,0,1,118.8,1,7,137,0,0,1,0,17,0,2.8,17.0
Michael Hall Jr.,145076,DI,CLV,9,0,,,2.0,,,0,0,0,,8,59.1,41.4,82.4,62.6,30.8,56.5,0,,,0,0,0,0.0,0,2,99,1,0,0,0,0,0,0.0,
Tyleik Williams,145080,DI,DET,17,0,,,0.4,,,0,0,0,,11,59.7,62.1,86.1,68.3,53.8,64.2,0,,,0,0,0,0.0,0,1,226,1,0,0,0,0,0,0.0,
Kobe King,145097,LB,NYJ,1,0,,,100.0,,,0,0,0,,22,60.0,77.4,63.4,,72.2,71.7,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Jaylen Reed,145100,S,HST,3,2,3.9,100.0,98.0,5.3,5.3,0,0,0,0.0,13,61.1,65.6,75.8,59.1,73.5,69.0,0,44,10.0,1,0,0,118.8,9,48,49,3,7,9,0,119,84,2.5,13.2
Alijah Clark,145141,S,DAL,3,0,,,96.2,,,0,0,0,,9,35.4,33.8,75.0,60.0,62.8,86.9,0,,0.0,0,0,1,0.0,0,25,26,0,4,0,0,0,0,0.0,
Thomas Incoom,145694,ED,CAR,5,0,,,7.1,,,0,0,0,,5,60.8,54.0,75.7,55.8,53.7,71.9,0,,,0,0,0,0.0,0,1,14,0,0,0,0,0,0,0.0,
Bo Richter,145962,ED,MIN,6,0,3.0,66.7,33.3,3.0,2.0,0,1,1,33.3,18,71.9,61.1,78.0,56.6,56.2,73.9,0,18,0.0,0,1,0,88.2,2,6,18,1,1,3,0,22,21,3.7,11.0
Johnathan Baldwin,146214,S,GB,1,0,12.5,100.0,100.0,18.0,18.0,0,0,0,0.0,12,60.7,67.6,76.9,,73.5,85.1,0,18,0.0,0,0,0,118.8,2,38,38,1,3,2,0,27,2,0.8,13.5
B.J. Green II,146277,ED,JAX,10,2,1.0,100.0,8.0,5.0,5.0,2,0,0,0.0,15,53.7,59.0,80.7,54.0,74.0,63.6,0,1,25.0,1,0,2,79.2,1,7,87,2,1,1,0,1,0,0.2,1.0
Oluwafemi Oladejo,146302,ED,TEN,6,1,3.2,100.0,28.6,5.5,5.5,0,0,0,0.0,31,40.9,48.4,84.7,52.4,53.7,67.7,0,15,25.0,1,0,0,99.3,6,36,126,0,2,6,0,47,28,1.4,7.8
Nikko Reed,146321,CB,LAC,5,0,14.4,20.0,97.6,39.0,7.8,0,0,1,20.0,27,78.7,71.6,76.4,59.1,39.5,26.6,0,8,0.0,0,1,0,39.6,1,40,41,0,1,5,0,8,9,0.2,8.0
Carson Schwesinger,146401,LB,CLV,16,11,2.1,88.9,86.7,11.3,10.0,0,0,1,2.2,8,63.0,75.3,64.9,70.8,81.5,69.8,2,42,10.2,6,1,1,97.8,40,475,548,17,42,45,2,376,287,0.8,9.4
Jaylin Smith,146422,CB,HST,4,0,5.0,100.0,100.0,23.0,23.0,0,0,0,0.0,13,65.2,68.7,76.0,,75.1,78.0,0,7,0.0,0,0,0,95.8,1,25,25,1,2,1,0,7,2,0.3,7.0
Calen Bullock,146424,S,HST,17,3,15.9,47.1,100.0,37.7,17.7,1,2,7,20.6,13,62.3,69.3,88.7,,86.5,81.9,4,35,11.9,5,6,2,49.9,16,646,646,4,34,34,2,233,35,0.4,14.6
Cole Bishop,146454,S,BUF,17,6,10.7,57.7,96.1,31.6,18.2,0,1,4,15.4,4,73.7,70.6,44.3,62.8,64.1,60.8,3,30,7.0,3,4,3,37.0,15,498,518,5,34,26,0,165,72,0.3,11.0
Jonah Elliss,146458,ED,DEN,13,0,-1.3,100.0,15.9,4.4,4.4,0,0,0,0.0,10,91.4,75.8,85.2,64.0,62.5,74.4,0,22,0.0,0,0,0,90.5,7,33,207,7,5,7,0,40,49,1.3,5.7
Jaden Hicks,146512,S,KC,17,2,7.7,75.9,94.8,13.2,10.0,0,0,3,10.3,16,59.0,62.2,53.2,70.9,68.6,48.2,0,24,16.7,4,1,2,116.5,22,313,330,9,18,29,2,196,110,0.7,8.9
Kiko Mauigoa,146521,LB,NYJ,12,6,4.5,71.4,78.9,11.5,8.2,1,0,0,0.0,22,31.7,42.7,36.4,59.8,59.3,41.0,0,13,11.8,2,0,2,110.1,10,120,152,3,9,14,1,83,54,0.7,8.3
Jeffrey Bassa,146552,LB,KC,4,0,2.3,75.0,100.0,6.3,4.8,0,0,0,0.0,16,84.6,85.7,74.0,,68.5,29.9,0,14,33.3,1,0,0,94.8,3,20,20,1,2,4,0,29,21,1.5,9.7
Kool-Aid McKinstry,146602,CB,NO,17,6,12.7,58.3,99.8,11.6,6.8,1,0,14,16.7,20,71.4,69.5,68.5,59.1,60.3,44.8,3,49,10.7,6,12,5,101.1,49,597,598,5,44,84,8,676,169,1.2,13.8
Terrion Arnold,146603,CB,DET,8,1,15.0,56.1,99.5,8.4,4.7,3,0,6,14.6,11,53.8,52.6,83.2,58.3,47.1,58.0,1,48,4.5,1,4,6,88.6,23,208,209,5,20,41,2,331,70,1.7,14.4
Dallas Turner,146604,ED,MIN,17,2,2.7,72.2,24.4,6.8,4.9,1,0,2,11.1,18,48.2,65.5,46.8,70.2,66.9,56.9,0,16,31.3,5,1,5,80.3,13,93,381,13,9,18,0,78,45,0.9,6.0
Donovan McMillon,146700,S,CLV,4,0,,,90.9,,,0,0,0,,8,62.0,59.9,71.5,72.5,51.4,30.0,0,,,0,0,0,0.0,0,10,11,1,0,0,0,0,0,0.0,
Jason Marshall Jr.,146704,CB,MIA,12,2,10.3,71.4,89.4,7.4,5.3,0,0,3,10.7,17,41.6,40.8,82.8,48.0,46.7,41.9,1,33,23.5,4,3,2,109.5,20,160,179,5,11,28,2,262,159,1.8,13.1
Jamon Johnson,146721,LB,GB,1,2,3.3,75.0,94.7,5.7,4.3,0,0,1,12.5,12,39.8,54.2,74.6,51.4,79.1,67.5,0,26,20.0,1,1,0,109.4,6,36,38,1,2,8,0,86,68,2.5,14.3
Smael Mondon Jr.,146725,LB,PHI,2,0,26.0,100.0,80.0,3.0,3.0,0,0,0,0.0,24,32.5,34.0,71.6,56.8,62.0,,0,34,,0,0,0,118.8,1,4,5,0,0,1,0,34,8,11.3,34.0
Javon Bullard,146726,S,GB,17,9,4.2,75.4,97.5,9.5,7.1,1,0,4,6.6,12,67.4,64.5,56.9,60.5,54.1,54.7,0,20,5.9,3,3,3,92.1,46,462,474,20,39,61,1,318,227,0.7,6.9
Kamari Lassiter,146727,CB,HST,16,8,12.6,57.0,98.7,11.7,6.6,2,1,12,14.0,13,72.9,75.9,66.4,63.4,83.0,71.6,4,39,5.5,3,10,6,75.6,49,614,622,13,44,86,5,538,167,0.9,11.0
Chaz Chambliss,146728,ED,MIN,3,0,-1.0,100.0,77.8,6.0,6.0,0,0,0,0.0,18,49.0,61.5,76.3,72.9,63.8,72.4,0,4,,0,0,0,122.9,1,7,9,1,0,1,1,4,5,0.7,4.0
Tyrion Ingram-Dawkins,146730,DI,MIN,14,0,,,5.3,,,0,0,0,,18,61.2,58.3,60.4,58.8,58.3,42.6,0,,,0,0,1,0.0,0,4,76,1,0,0,0,0,0,0.0,
Maxwell Hairston,146746,CB,BUF,11,0,17.4,60.0,99.5,12.3,7.4,1,0,3,12.0,4,68.0,64.3,84.5,66.7,43.3,52.8,2,38,16.7,2,3,1,92.2,15,196,197,4,10,25,3,203,26,1.1,13.5
Trevin Wallace,146747,LB,CAR,12,6,3.3,79.5,86.8,9.9,7.9,0,0,2,5.1,5,64.5,56.4,83.9,64.2,43.3,57.5,0,32,6.3,2,2,0,109.1,31,321,370,11,24,39,2,237,171,0.8,7.6
Maason Smith,146774,DI,JAX,13,0,,,3.5,,,0,0,0,,15,57.3,49.1,9.7,61.3,51.8,48.9,0,,100.0,1,0,4,0.0,0,7,198,0,0,0,0,0,0,0.0,
Landon Jackson,146784,ED,BUF,2,0,,,7.7,,,0,0,0,,4,60.0,60.5,78.5,52.0,64.6,,0,,,0,0,0,0.0,0,1,13,0,0,0,0,0,0,0.0,
Trey Washington,146822,S,IND,2,2,2.0,100.0,100.0,7.0,7.0,0,0,0,0.0,14,46.4,48.1,75.0,,66.2,41.8,0,14,25.0,1,0,1,105.6,3,22,22,0,1,3,0,28,22,1.3,9.3
Bam Martin-Scott,146904,LB,CAR,2,0,3.0,100.0,77.8,14.0,14.0,0,0,0,0.0,5,45.8,37.6,76.1,53.4,45.6,65.5,0,17,,0,0,0,158.3,1,14,18,0,0,1,1,17,14,1.2,17.0
T.J. Sanders,146925,DI,BUF,12,1,9.0,0.0,1.2,,2.0,1,0,0,0.0,4,58.8,39.9,41.7,51.3,41.7,63.0,0,,33.3,1,0,2,39.6,0,2,166,1,1,1,0,0,0,0.0,
Kamal Hadden,146931,CB,GB,2,0,1.5,100.0,100.0,10.0,10.0,0,0,0,0.0,12,60.8,67.6,75.5,,79.0,37.7,0,7,50.0,1,0,0,91.7,2,20,20,1,1,2,0,12,9,0.6,6.0
Byron Young,146932,ED,LA,17,2,3.2,84.6,23.8,11.4,9.6,1,0,0,0.0,26,60.9,85.0,71.3,83.4,79.3,73.8,0,46,6.7,1,0,2,100.0,11,128,538,17,12,13,0,104,71,0.8,9.5
Josaiah Stewart,147092,ED,LA,17,1,4.7,66.7,32.4,18.8,12.5,0,0,1,16.7,26,61.7,69.1,29.2,74.0,65.8,55.0,0,28,33.3,3,1,3,86.1,4,79,244,6,5,6,0,41,20,0.5,10.3
Daijahn Anthony,147537,S,CIN,2,0,,,100.0,,,0,0,0,,7,50.7,53.1,73.4,,65.8,80.9,0,,0.0,0,0,0,0.0,0,22,22,0,1,0,0,0,0,0.0,
Johnathan Edwards,148086,CB,IND,10,0,13.8,63.0,100.0,11.6,7.3,2,0,3,11.1,14,38.9,39.7,84.1,,46.9,46.6,0,30,18.2,4,2,2,105.6,17,205,205,1,18,27,1,251,42,1.3,14.8
Cam'Ron Silmon-Craig,150938,S,JAX,2,0,9.0,100.0,90.0,17.0,17.0,0,0,0,0.0,15,58.2,56.8,70.1,57.3,60.0,77.5,0,12,0.0,0,0,0,116.7,1,18,20,0,2,1,0,12,3,0.7,12.0
Mike Green,151084,ED,BLT,17,0,1.0,100.0,9.1,4.3,4.3,0,0,0,0.0,3,28.7,46.3,87.7,55.5,47.1,58.1,0,38,41.7,5,0,0,147.7,9,40,439,7,7,9,1,95,86,2.4,10.6
Jonas Sanker,151097,S,NO,17,4,13.4,58.3,99.6,35.9,20.9,0,1,4,16.7,20,55.6,62.5,89.5,56.8,73.7,31.1,2,53,24.4,11,4,1,60.9,14,525,527,5,30,24,1,179,47,0.4,12.8
Joshua Williams,156083,CB,KC,2,0,,,100.0,,,0,0,0,,16,76.5,75.6,80.9,,60.7,,0,,,0,0,0,0.0,0,10,10,0,0,0,0,0,0,0.0,
Dondrea Tillman,156124,ED,DEN,17,1,4.6,50.0,15.2,9.3,4.6,1,0,0,0.0,10,58.4,68.5,71.5,62.3,72.4,52.3,2,13,66.7,4,0,1,25.0,4,39,257,3,1,8,0,40,20,1.1,10.0
Azareye'h Thomas,156277,CB,NYJ,7,0,13.7,48.0,99.4,12.7,6.1,0,0,5,20.0,22,55.5,55.1,82.8,60.0,52.2,33.5,0,44,13.3,2,3,3,84.9,12,159,160,2,13,25,1,177,59,1.2,14.8
Loren Strickland,156894,S,DET,1,1,14.0,100.0,100.0,12.0,12.0,0,0,0,0.0,11,73.5,78.0,69.4,,60.0,80.7,0,14,0.0,0,0,0,118.8,1,12,12,1,1,1,0,14,0,1.2,14.0
Benjamin Morrison,156968,CB,TB,10,3,14.0,57.5,99.2,10.1,5.8,2,0,6,15.0,30,50.0,47.0,84.3,47.9,35.4,40.3,0,72,17.4,4,3,4,110.8,23,241,243,4,16,40,3,344,118,1.5,15.0
Jihaad Campbell,157013,LB,PHI,16,5,4.5,75.0,86.6,14.1,10.6,0,0,2,6.3,24,78.6,76.1,65.8,60.2,69.6,76.8,1,72,7.3,3,2,2,97.3,24,368,425,8,33,32,1,271,185,0.8,11.3
Mykel Williams,157061,ED,SF,9,0,12.0,100.0,2.8,7.0,7.0,0,0,0,0.0,28,61.5,54.7,71.9,51.9,59.3,60.1,0,12,16.7,1,0,2,116.7,1,7,252,4,5,1,0,12,0,1.7,12.0
Malaki Starks,157069,S,BLT,17,8,13.0,65.9,98.3,24.6,16.2,0,1,1,2.4,3,63.4,67.9,69.8,56.9,79.9,60.1,2,47,9.4,5,1,1,99.7,27,699,711,10,40,41,3,381,102,0.6,14.1
Jalon Walker,157070,ED,ATL,15,1,7.8,87.5,15.1,6.9,6.0,0,0,0,0.0,2,43.8,71.6,71.6,67.0,81.3,66.2,0,19,15.4,2,0,1,151.6,7,50,332,10,10,8,1,87,33,1.8,12.4
Shemar James,157749,LB,DAL,13,13,3.3,94.6,87.0,7.6,7.2,0,0,0,0.0,9,41.1,40.1,83.2,71.3,38.5,70.2,0,27,7.3,3,0,0,131.1,35,288,331,9,25,37,3,332,222,1.2,9.5
Jacob Parrish,157777,CB,TB,17,4,7.0,77.9,94.3,7.9,6.1,0,1,4,5.2,30,65.7,68.5,59.2,60.2,78.5,45.5,2,52,17.5,10,3,3,104.8,60,500,530,21,43,77,3,665,351,1.4,11.1
Nick Emmanwori,158121,S,SEA,14,5,4.2,76.7,87.7,7.7,5.9,0,0,9,12.3,29,69.6,71.0,62.4,65.2,71.6,59.8,1,34,10.9,6,8,2,97.5,56,457,521,21,44,73,2,491,326,1.1,8.8
Mason Graham,158535,DI,CLV,17,1,-1.0,0.0,1.3,,5.0,0,0,0,0.0,8,67.5,68.7,88.7,62.2,62.4,39.1,0,,14.3,1,0,1,39.6,0,6,453,5,5,1,0,0,0,0.0,
Will Johnson,158536,CB,ARZ,12,6,9.3,67.8,100.0,10.7,7.2,0,0,11,18.6,1,60.7,60.8,58.2,,61.2,51.2,0,31,17.1,6,9,6,111.2,40,449,449,7,23,59,4,425,129,1.0,10.6
Shemar Stewart,158675,ED,CIN,8,0,,,0.5,,,0,0,0,,7,61.0,41.2,85.6,56.0,29.3,29.7,0,,33.3,1,0,0,0.0,0,1,182,2,2,0,0,0,0,0.0,
Travis Hunter,160766,WR,JAX,7,0,11.5,60.0,100.0,12.6,7.5,0,0,3,20.0,15,72.7,73.2,81.0,,69.0,69.6,0,17,7.7,1,2,3,78.8,9,120,120,0,12,15,0,96,37,0.8,10.7
Jamaree Caldwell,162505,DI,LAC,17,0,,,1.6,,,0,0,0,,27,55.3,63.0,72.0,55.8,67.2,29.3,0,,50.0,1,0,1,0.0,0,4,255,1,1,0,0,0,0,0.0,
Shavon Revel,162653,CB,DAL,7,6,11.3,67.7,100.0,9.2,6.2,1,0,4,12.9,9,34.6,35.2,31.4,,48.1,38.1,0,41,16.7,5,2,5,119.7,21,210,210,3,19,31,2,295,112,1.5,14.0
Kenneth Grant,162816,DI,MIA,17,0,5.0,100.0,1.2,4.0,4.0,0,0,0,0.0,17,58.9,48.5,87.6,57.6,41.1,56.3,0,6,20.0,1,0,0,91.7,1,4,336,3,4,1,0,6,1,1.5,6.0
