player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Alex Wright,98318,ED,CLV,14,0,-3.0,100.0,5.1,7.0,7.0,1,0,0,0.0,8,77.5,78.6,77.4,64.7,73.6,55.0,0,3,11.1,1,0,1,79.2,2,14,276,11,8,2,0,1,7,0.1,0.5
George Karlaftis,98319,ED,KC,16,2,1.7,66.7,2.9,7.0,4.7,0,0,0,0.0,16,49.6,76.2,65.5,75.9,70.4,53.8,0,8,36.4,4,0,3,77.1,2,14,476,9,5,3,0,14,9,1.0,7.0
Darius Alexander,98333,DI,NYG,16,2,,,0.4,,,0,0,0,,21,69.6,42.9,85.3,54.9,30.3,32.6,0,,20.0,1,0,0,0.0,0,1,259,5,2,0,0,0,0,0.0,
Kayvon Thibodeaux,98444,ED,NYG,10,1,3.0,100.0,2.4,2.0,2.0,1,0,0,0.0,21,42.5,66.0,65.1,58.0,80.7,27.9,0,16,71.4,5,0,3,137.5,4,8,332,4,1,4,1,30,18,3.8,7.5
Eric Watts,98459,ED,NYJ,4,0,12.0,100.0,5.5,1.5,1.5,0,0,0,0.0,22,34.7,54.3,82.2,50.8,67.5,77.2,0,22,0.0,0,0,0,158.3,2,3,55,0,2,2,1,29,5,9.7,14.5
Tatum Bethune,98532,LB,SF,9,8,4.2,80.6,89.4,9.0,7.3,1,0,3,8.3,28,42.5,52.0,0.0,64.8,73.2,50.3,0,50,18.6,8,3,5,106.4,29,271,303,8,27,36,0,343,246,1.3,11.8
Swayze Bozeman,98634,LB,NYG,3,0,5.0,60.0,90.0,6.0,3.6,0,0,0,0.0,21,42.8,38.8,71.4,57.9,50.3,75.5,0,17,,0,0,0,77.9,3,18,20,0,0,5,0,31,22,1.7,10.3
Nick Jackson,98640,LB,TB,1,0,-3.0,100.0,75.0,6.0,6.0,0,0,0,0.0,30,35.6,37.0,72.1,54.8,58.0,71.7,0,16,,0,0,0,118.8,1,6,8,0,0,1,0,16,19,2.7,16.0
Kaiir Elam,98693,CB,TEN,12,4,12.9,60.8,99.4,10.2,6.2,1,0,3,5.9,31,56.3,56.8,86.1,58.5,55.5,68.9,0,65,10.0,3,1,3,113.8,31,334,336,5,23,51,4,427,139,1.4,13.8
Mohamoud Diabate,98780,LB,CLV,17,4,3.9,88.9,88.1,13.4,11.9,0,0,0,0.0,8,51.4,59.9,78.5,49.9,68.0,53.6,0,19,20.0,3,0,0,129.6,8,111,126,3,8,9,1,56,39,0.5,7.0
