team,year,wins,d_wins,ol_return,dl_return
ARI,2024,8,4,2,2
ATL,2024,8,1,4,1
BAL,2024,12,-1,2,4
BUF,2024,13,2,4,2
CAR,2024,5,3,3,1
CHI,2024,5,-2,3,1
CIN,2024,9,0,3,3
CLE,2024,3,-8,3,2
DAL,2024,7,-5,3,1
DEN,2024,10,2,4,2
DET,2024,15,3,4,1
GB,2024,11,2,4,2
HOU,2024,10,0,2,1
IND,2024,8,-1,3,2
JAX,2024,4,-5,3,0
KC,2024,15,4,4,3
LA,2024,10,0,4,2
LAC,2024,11,6,3,2
LV,2024,4,-4,3,3
MIA,2024,8,-3,2,2
MIN,2024,14,7,3,2
NE,2024,4,0,1,1
NO,2024,5,-4,1,3
NYG,2024,3,-3,1,2
NYJ,2024,5,-2,1,2
PHI,2024,14,3,4,2
PIT,2024,10,0,3,3
SEA,2024,10,1,2,3
SF,2024,6,-6,4,1
TB,2024,10,1,3,4
TEN,2024,3,-3,3,1
WAS,2024,12,8,2,1
ARI,2025,3,-5,5,1
ATL,2025,8,0,4,1
BAL,2025,8,-4,4,1
BUF,2025,12,-1,5,2
CAR,2025,8,3,4,1
CHI,2025,11,6,1,2
CIN,2025,6,-3,2,2
CLE,2025,5,2,3,2
DAL,2025,7,0,4,1
DEN,2025,14,4,4,3
DET,2025,9,-6,3,2
GB,2025,9,-2,3,2
HOU,2025,12,2,1,2
IND,2025,8,0,4,3
JAX,2025,13,9,3,4
KC,2025,6,-9,3,2
LA,2025,12,2,3,3
LAC,2025,11,0,3,0
LV,2025,3,-1,2,2
MIA,2025,7,-1,1,1
MIN,2025,9,-5,2,1
NE,2025,14,10,1,0
NO,2025,6,1,2,3
NYG,2025,4,1,4,1
NYJ,2025,3,-2,2,1
PHI,2025,11,-3,3,3
PIT,2025,10,0,4,2
SEA,2025,14,4,2,3
SF,2025,12,6,4,1
TB,2025,8,-2,3,3
TEN,2025,3,0,2,4
WAS,2025,5,-7,2,2
